"Year","Predicted SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","11 point(s)","18","All","All","All","Main scheme application","385","350","0.914","0"
"2016","11 point(s)","18","All","All","All","Main scheme application","400","355","0.89","0"
"2017","11 point(s)","18","All","All","All","Main scheme application","365","325","0.893","0"
"2018","11 point(s)","18","All","All","All","Main scheme application","375","335","0.903","0"
"2019","11 point(s)","18","All","All","All","Main scheme application","305","275","0.902","0"
"2020","11 point(s)","18","All","All","All","Main scheme application","345","300","0.87","0"
"2021","11 point(s)","18","All","All","All","Main scheme application","385","340","0.888","0"
"2022","11 point(s)","18","All","All","All","Main scheme application","370","335","0.906","0"
"2023","11 point(s)","18","All","All","All","Main scheme application","400","370","0.918","0"
"2010","12 point(s)","18","All","All","All","Main scheme application","910","825","0.903","0"
"2011","12 point(s)","18","All","All","All","Main scheme application","1020","925","0.909","0"
"2012","12 point(s)","18","All","All","All","Main scheme application","1045","935","0.892","0"
"2013","12 point(s)","18","All","All","All","Main scheme application","1180","1065","0.9","0"
"2014","12 point(s)","18","All","All","All","Main scheme application","1215","1070","0.883","0"
"2015","12 point(s)","18","All","All","All","Main scheme application","1290","1135","0.881","0"
"2016","12 point(s)","18","All","All","All","Main scheme application","1315","1170","0.892","0"
"2017","12 point(s)","18","All","All","All","Main scheme application","1410","1255","0.89","0"
"2018","12 point(s)","18","All","All","All","Main scheme application","1475","1320","0.896","0"
"2019","12 point(s)","18","All","All","All","Main scheme application","1380","1235","0.896","0"
"2020","12 point(s)","18","All","All","All","Main scheme application","1450","1295","0.892","0"
"2021","12 point(s)","18","All","All","All","Main scheme application","1790","1620","0.907","0"
"2022","12 point(s)","18","All","All","All","Main scheme application","1890","1675","0.886","0"
"2023","12 point(s)","18","All","All","All","Main scheme application","1955","1825","0.932","0"
"2010","All","18","All","All","All","Not main scheme application","55","55","0.93","0"
"2011","All","18","All","All","All","Not main scheme application","60","50","0.774","0"
"2012","All","18","All","All","All","Not main scheme application","85","70","0.845","0"
"2013","All","18","All","All","All","Not main scheme application","70","65","0.903","0"
"2014","All","18","All","All","All","Not main scheme application","85","70","0.81","0"
"2015","All","18","All","All","All","Not main scheme application","80","70","0.841","0"
"2016","All","18","All","All","All","Not main scheme application","80","65","0.8170000000000001","0"
"2017","All","18","All","All","All","Not main scheme application","90","70","0.791","0"
"2018","All","18","All","All","All","Not main scheme application","80","65","0.846","0"
"2019","All","18","All","All","All","Not main scheme application","90","80","0.888","0"
"2020","All","18","All","All","All","Not main scheme application","100","85","0.879","0"
"2021","All","18","All","All","All","Not main scheme application","75","60","0.8160000000000001","0"
"2022","All","18","All","All","All","Not main scheme application","105","85","0.8210000000000001","0"
"2023","All","18","All","All","All","Not main scheme application","90","80","0.909","0"
"2010","All","18","All","All","All","Main scheme application","1975","1755","0.889","0"
"2011","All","18","All","All","All","Main scheme application","2095","1870","0.891","0"
"2012","All","18","All","All","All","Main scheme application","2080","1795","0.862","0"
"2013","All","18","All","All","All","Main scheme application","2275","2025","0.89","0"
"2014","All","18","All","All","All","Main scheme application","2210","1955","0.885","0"
"2015","All","18","All","All","All","Main scheme application","2360","2075","0.879","0"
"2016","All","18","All","All","All","Main scheme application","2335","2065","0.884","0"
"2017","All","18","All","All","All","Main scheme application","2325","2050","0.881","0"
"2018","All","18","All","All","All","Main scheme application","2410","2145","0.891","0"
"2019","All","18","All","All","All","Main scheme application","2290","2040","0.89","0"
"2020","All","18","All","All","All","Main scheme application","2335","2075","0.888","0"
"2021","All","18","All","All","All","Main scheme application","2700","2410","0.892","0"
"2022","All","18","All","All","All","Main scheme application","2825","2505","0.887","0"
"2023","All","18","All","All","All","Main scheme application","2975","2725","0.916","0"
"2010","6 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2010","7 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2011","7 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","All","All","All","All","Not main scheme application","10","5"," ","0"
"2020","7 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","All","All","All","All","Not main scheme application","5","0"," ","0"
"2023","7 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2010","8 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2012","8 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
