"Year","Predicted SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2020","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2021","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2022","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.556","0"
"2011","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","10","0.48","0"
"2012","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","10"," ","0"
"2013","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10","0.455","0"
"2014","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","10","0.367","0"
"2015","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","40","15","0.317","0"
"2016","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","10","0.458","0"
"2017","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","15","0.5","0"
"2018","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10"," ","0"
"2019","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10"," ","0"
"2020","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2022","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","14 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10"," ","0"
"2010","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","20","0.667","0"
"2011","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.52","0"
"2012","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","15","0.46900000000000003","0"
"2013","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","15","0.406","0"
"2014","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","15","0.516","0"
"2015","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","45","20","0.419","0"
"2016","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","10","0.44","0"
"2017","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.481","0"
"2018","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","20","0.6","0"
"2019","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10","0.5710000000000001","0"
"2020","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","15","0.737","0"
"2021","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10","0.6","0"
"2022","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.625","0"
"2023","15 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.615","0"
"2010","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2011","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2012","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10","0.556","0"
"2013","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.52","0"
"2014","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.652","0"
"2015","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","10"," ","0"
"2016","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.56","0"
"2017","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","20","0.621","0"
"2018","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","10","0.429","0"
"2019","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","20","0.704","0"
"2020","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","20","0.6920000000000001","0"
"2021","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.6960000000000001","0"
"2022","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","0.8240000000000001","0"
"2023","16 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","10","0.44","0"
"2010","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.647","0"
"2012","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2013","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2014","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.542","0"
"2015","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","20","0.643","0"
"2016","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","35","15","0.515","0"
"2017","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","15","0.483","0"
"2018","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","20","0.846","0"
"2019","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2020","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.625","0"
"2021","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","25","0.871","0"
"2022","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2023","17 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2010","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2012","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2013","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2014","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.583","0"
"2015","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2016","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10","0.632","0"
"2017","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10"," ","0"
"2018","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","15","0.63","0"
"2019","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10","0.524","0"
"2020","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","25","0.889","0"
"2021","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","20","0.8180000000000001","0"
"2022","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","15","0.722","0"
"2023","18 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.588","0"
"2010","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2013","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2016","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2017","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","15","0.667","0"
"2018","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2019","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2020","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","15","0.842","0"
"2021","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","20","0.9550000000000001","0"
"2022","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","19 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2010","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2015","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.647","0"
"2016","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2017","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","15","0.619","0"
"2018","20 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","20","0.778","0"
