"Year","Difference between predicted and achieved SQA advanced higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","-5 points","Quintile 3","All","Main scheme application","35","30","0.865","0"
"2023","-5 points","Quintile 3","All","Main scheme application","25","25","1","0"
"2010","-6 points","Quintile 3","All","Main scheme application","15","15","0.765","0"
"2011","-6 points","Quintile 3","All","Main scheme application","15","10","0.857","0"
"2012","-6 points","Quintile 3","All","Main scheme application","20","15","0.773","0"
"2013","-6 points","Quintile 3","All","Main scheme application","15","10","0.923","0"
"2014","-6 points","Quintile 3","All","Main scheme application","20","20","0.9","0"
"2015","-6 points","Quintile 3","All","Main scheme application","15","15","0.875","0"
"2016","-6 points","Quintile 3","All","Main scheme application","15","10","0.75","0"
"2017","-6 points","Quintile 3","All","Main scheme application","15","15","0.929","0"
"2018","-6 points","Quintile 3","All","Main scheme application","15","15","0.9410000000000001","0"
"2019","-6 points","Quintile 3","All","Main scheme application","25","20","0.8","0"
"2020","-6 points","Quintile 3","All","Main scheme application","10","10"," ","0"
"2021","-6 points","Quintile 3","All","Main scheme application","10","10","0.909","0"
"2022","-6 points","Quintile 3","All","Main scheme application","15","15","0.882","0"
"2023","-6 points","Quintile 3","All","Main scheme application","10","10","1","0"
"2010","Less than -6 points","Quintile 3","All","Main scheme application","30","25","0.897","0"
"2011","Less than -6 points","Quintile 3","All","Main scheme application","20","15","0.789","0"
"2012","Less than -6 points","Quintile 3","All","Main scheme application","25","20","0.8","0"
"2013","Less than -6 points","Quintile 3","All","Main scheme application","30","25","0.929","0"
"2014","Less than -6 points","Quintile 3","All","Main scheme application","25","15","0.56","0"
"2015","Less than -6 points","Quintile 3","All","Main scheme application","25","25","0.885","0"
"2016","Less than -6 points","Quintile 3","All","Main scheme application","30","20","0.759","0"
"2017","Less than -6 points","Quintile 3","All","Main scheme application","30","20","0.759","0"
"2018","Less than -6 points","Quintile 3","All","Main scheme application","30","25","0.774","0"
"2019","Less than -6 points","Quintile 3","All","Main scheme application","30","20","0.6900000000000001","0"
"2020","Less than -6 points","Quintile 3","All","Main scheme application","10","5"," ","0"
"2021","Less than -6 points","Quintile 3","All","Main scheme application","20","15","0.81","0"
"2022","Less than -6 points","Quintile 3","All","Main scheme application","45","40","0.886","0"
"2023","Less than -6 points","Quintile 3","All","Main scheme application","40","35","0.895","0"
"2010","0 points","Quintile 4","All","Main scheme application","80","70","0.886","0"
"2011","0 points","Quintile 4","All","Main scheme application","95","85","0.885","0"
"2012","0 points","Quintile 4","All","Main scheme application","80","75","0.927","0"
"2013","0 points","Quintile 4","All","Main scheme application","100","90","0.898","0"
"2014","0 points","Quintile 4","All","Main scheme application","90","85","0.9560000000000001","0"
"2015","0 points","Quintile 4","All","Main scheme application","85","75","0.906","0"
"2016","0 points","Quintile 4","All","Main scheme application","115","100","0.886","0"
"2017","0 points","Quintile 4","All","Main scheme application","115","105","0.93","0"
"2018","0 points","Quintile 4","All","Main scheme application","115","105","0.9390000000000001","0"
"2019","0 points","Quintile 4","All","Main scheme application","115","105","0.93","0"
"2020","0 points","Quintile 4","All","Main scheme application","175","160","0.893","0"
"2021","0 points","Quintile 4","All","Main scheme application","210","185","0.894","0"
"2022","0 points","Quintile 4","All","Main scheme application","125","115","0.927","0"
"2023","0 points","Quintile 4","All","Main scheme application","130","120","0.924","0"
"2010","1 points","Quintile 4","All","Main scheme application","25","25","1","0"
"2011","1 points","Quintile 4","All","Main scheme application","15","15","0.9410000000000001","0"
"2012","1 points","Quintile 4","All","Main scheme application","15","10","0.786","0"
"2013","1 points","Quintile 4","All","Main scheme application","20","15","0.895","0"
"2014","1 points","Quintile 4","All","Main scheme application","25","20","0.913","0"
"2015","1 points","Quintile 4","All","Main scheme application","15","15","1","0"
"2016","1 points","Quintile 4","All","Main scheme application","30","25","0.964","0"
"2017","1 points","Quintile 4","All","Main scheme application","10","5"," ","0"
"2018","1 points","Quintile 4","All","Main scheme application","20","20","0.905","0"
"2019","1 points","Quintile 4","All","Main scheme application","10","10","1","0"
"2020","1 points","Quintile 4","All","Main scheme application","30","25","0.9","0"
"2021","1 points","Quintile 4","All","Main scheme application","25","20","0.917","0"
"2022","1 points","Quintile 4","All","Main scheme application","20","20","0.9520000000000001","0"
"2023","1 points","Quintile 4","All","Main scheme application","15","15","0.933","0"
"2010","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2011","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2012","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2013","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2014","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2016","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2017","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2018","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2019","2 points","Quintile 4","All","Main scheme application","5","0"," ","0"
"2020","2 points","Quintile 4","All","Main scheme application","10","10","1","0"
"2021","2 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2022","2 points","Quintile 4","All","Main scheme application","10","5"," ","0"
"2023","2 points","Quintile 4","All","Main scheme application","10","5"," ","0"
"2020","3 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2010","-1 points","Quintile 4","All","Main scheme application","55","55","0.93","0"
"2011","-1 points","Quintile 4","All","Main scheme application","55","45","0.855","0"
"2012","-1 points","Quintile 4","All","Main scheme application","65","55","0.862","0"
"2013","-1 points","Quintile 4","All","Main scheme application","55","50","0.895","0"
"2014","-1 points","Quintile 4","All","Main scheme application","70","70","0.9580000000000001","0"
"2015","-1 points","Quintile 4","All","Main scheme application","75","65","0.87","0"
"2016","-1 points","Quintile 4","All","Main scheme application","65","55","0.891","0"
"2017","-1 points","Quintile 4","All","Main scheme application","70","60","0.843","0"
"2018","-1 points","Quintile 4","All","Main scheme application","50","50","0.962","0"
"2019","-1 points","Quintile 4","All","Main scheme application","65","55","0.851","0"
"2020","-1 points","Quintile 4","All","Main scheme application","70","60","0.886","0"
"2021","-1 points","Quintile 4","All","Main scheme application","70","60","0.899","0"
"2022","-1 points","Quintile 4","All","Main scheme application","80","75","0.936","0"
"2023","-1 points","Quintile 4","All","Main scheme application","95","95","0.979","0"
"2010","-2 points","Quintile 4","All","Main scheme application","45","35","0.8140000000000001","0"
"2011","-2 points","Quintile 4","All","Main scheme application","60","55","0.934","0"
"2012","-2 points","Quintile 4","All","Main scheme application","60","50","0.881","0"
"2013","-2 points","Quintile 4","All","Main scheme application","65","60","0.906","0"
"2014","-2 points","Quintile 4","All","Main scheme application","70","60","0.897","0"
"2015","-2 points","Quintile 4","All","Main scheme application","65","60","0.9520000000000001","0"
"2016","-2 points","Quintile 4","All","Main scheme application","65","60","0.923","0"
"2017","-2 points","Quintile 4","All","Main scheme application","55","50","0.893","0"
"2018","-2 points","Quintile 4","All","Main scheme application","60","55","0.919","0"
"2019","-2 points","Quintile 4","All","Main scheme application","50","45","0.863","0"
"2020","-2 points","Quintile 4","All","Main scheme application","45","35","0.8","0"
"2021","-2 points","Quintile 4","All","Main scheme application","45","40","0.8260000000000001","0"
"2022","-2 points","Quintile 4","All","Main scheme application","80","65","0.838","0"
"2023","-2 points","Quintile 4","All","Main scheme application","95","85","0.926","0"
"2010","-3 points","Quintile 4","All","Main scheme application","45","40","0.864","0"
"2011","-3 points","Quintile 4","All","Main scheme application","40","35","0.854","0"
"2012","-3 points","Quintile 4","All","Main scheme application","40","35","0.9490000000000001","0"
"2013","-3 points","Quintile 4","All","Main scheme application","45","35","0.86","0"
"2014","-3 points","Quintile 4","All","Main scheme application","50","50","0.923","0"
"2015","-3 points","Quintile 4","All","Main scheme application","60","50","0.8280000000000001","0"
"2016","-3 points","Quintile 4","All","Main scheme application","45","40","0.867","0"
"2017","-3 points","Quintile 4","All","Main scheme application","65","55","0.8280000000000001","0"
"2018","-3 points","Quintile 4","All","Main scheme application","55","45","0.868","0"
"2019","-3 points","Quintile 4","All","Main scheme application","35","35","0.919","0"
"2020","-3 points","Quintile 4","All","Main scheme application","40","30","0.8210000000000001","0"
"2021","-3 points","Quintile 4","All","Main scheme application","30","25","0.806","0"
"2022","-3 points","Quintile 4","All","Main scheme application","65","55","0.851","0"
"2023","-3 points","Quintile 4","All","Main scheme application","75","60","0.8160000000000001","0"
"2010","-4 points","Quintile 4","All","Main scheme application","40","35","0.868","0"
"2011","-4 points","Quintile 4","All","Main scheme application","50","40","0.804","0"
"2012","-4 points","Quintile 4","All","Main scheme application","40","35","0.8250000000000001","0"
"2013","-4 points","Quintile 4","All","Main scheme application","25","20","0.8150000000000001","0"
"2014","-4 points","Quintile 4","All","Main scheme application","40","35","0.881","0"
"2015","-4 points","Quintile 4","All","Main scheme application","55","50","0.906","0"
"2016","-4 points","Quintile 4","All","Main scheme application","35","30","0.865","0"
"2017","-4 points","Quintile 4","All","Main scheme application","40","35","0.878","0"
"2018","-4 points","Quintile 4","All","Main scheme application","45","40","0.907","0"
"2019","-4 points","Quintile 4","All","Main scheme application","45","35","0.841","0"
"2020","-4 points","Quintile 4","All","Main scheme application","25","20","0.76","0"
"2021","-4 points","Quintile 4","All","Main scheme application","25","25","0.9580000000000001","0"
"2022","-4 points","Quintile 4","All","Main scheme application","40","35","0.881","0"
"2023","-4 points","Quintile 4","All","Main scheme application","55","50","0.926","0"
"2010","-5 points","Quintile 4","All","Main scheme application","30","30","0.933","0"
"2011","-5 points","Quintile 4","All","Main scheme application","30","25","0.8210000000000001","0"
"2012","-5 points","Quintile 4","All","Main scheme application","30","25","0.871","0"
"2013","-5 points","Quintile 4","All","Main scheme application","30","25","0.774","0"
"2014","-5 points","Quintile 4","All","Main scheme application","30","25","0.774","0"
"2015","-5 points","Quintile 4","All","Main scheme application","35","30","0.882","0"
"2016","-5 points","Quintile 4","All","Main scheme application","30","30","0.875","0"
"2017","-5 points","Quintile 4","All","Main scheme application","30","30","0.906","0"
"2018","-5 points","Quintile 4","All","Main scheme application","35","30","0.914","0"
"2019","-5 points","Quintile 4","All","Main scheme application","25","20","0.808","0"
"2020","-5 points","Quintile 4","All","Main scheme application","10","10"," ","0"
"2021","-5 points","Quintile 4","All","Main scheme application","20","15","0.842","0"
"2022","-5 points","Quintile 4","All","Main scheme application","35","30","0.8","0"
"2023","-5 points","Quintile 4","All","Main scheme application","40","35","0.881","0"
"2010","-6 points","Quintile 4","All","Main scheme application","15","15","0.9410000000000001","0"
"2011","-6 points","Quintile 4","All","Main scheme application","25","15","0.708","0"
"2012","-6 points","Quintile 4","All","Main scheme application","30","30","0.903","0"
"2013","-6 points","Quintile 4","All","Main scheme application","30","25","0.857","0"
"2014","-6 points","Quintile 4","All","Main scheme application","15","15","0.765","0"
"2015","-6 points","Quintile 4","All","Main scheme application","30","25","0.893","0"
"2016","-6 points","Quintile 4","All","Main scheme application","15","15","1","0"
"2017","-6 points","Quintile 4","All","Main scheme application","20","20","0.909","0"
"2018","-6 points","Quintile 4","All","Main scheme application","25","20","0.88","0"
"2019","-6 points","Quintile 4","All","Main scheme application","10","10"," ","0"
"2020","-6 points","Quintile 4","All","Main scheme application","5","5"," ","0"
"2021","-6 points","Quintile 4","All","Main scheme application","15","10","0.667","0"
"2022","-6 points","Quintile 4","All","Main scheme application","25","25","0.926","0"
"2023","-6 points","Quintile 4","All","Main scheme application","30","25","0.833","0"
"2010","Less than -6 points","Quintile 4","All","Main scheme application","50","45","0.918","0"
"2011","Less than -6 points","Quintile 4","All","Main scheme application","30","30","0.875","0"
"2012","Less than -6 points","Quintile 4","All","Main scheme application","40","35","0.81","0"
"2013","Less than -6 points","Quintile 4","All","Main scheme application","50","40","0.857","0"
"2014","Less than -6 points","Quintile 4","All","Main scheme application","40","30","0.795","0"
"2015","Less than -6 points","Quintile 4","All","Main scheme application","50","35","0.735","0"
"2016","Less than -6 points","Quintile 4","All","Main scheme application","35","30","0.857","0"
"2017","Less than -6 points","Quintile 4","All","Main scheme application","50","40","0.854","0"
"2018","Less than -6 points","Quintile 4","All","Main scheme application","50","40","0.875","0"
"2019","Less than -6 points","Quintile 4","All","Main scheme application","40","30","0.744","0"
"2020","Less than -6 points","Quintile 4","All","Main scheme application","25","20","0.833","0"
"2021","Less than -6 points","Quintile 4","All","Main scheme application","30","25","0.871","0"
"2022","Less than -6 points","Quintile 4","All","Main scheme application","45","35","0.791","0"
"2023","Less than -6 points","Quintile 4","All","Main scheme application","55","50","0.906","0"
"2010","0 points","Quintile 5","All","Main scheme application","320","300","0.932","0"
"2011","0 points","Quintile 5","All","Main scheme application","340","320","0.933","0"
"2012","0 points","Quintile 5","All","Main scheme application","340","300","0.888","0"
"2013","0 points","Quintile 5","All","Main scheme application","425","390","0.915","0"
"2014","0 points","Quintile 5","All","Main scheme application","385","355","0.92","0"
"2015","0 points","Quintile 5","All","Main scheme application","435","400","0.915","0"
"2016","0 points","Quintile 5","All","Main scheme application","440","395","0.904","0"
"2017","0 points","Quintile 5","All","Main scheme application","430","400","0.928","0"
"2018","0 points","Quintile 5","All","Main scheme application","460","430","0.937","0"
"2019","0 points","Quintile 5","All","Main scheme application","430","405","0.9400000000000001","0"
"2020","0 points","Quintile 5","All","Main scheme application","660","605","0.912","0"
"2021","0 points","Quintile 5","All","Main scheme application","855","790","0.926","0"
"2022","0 points","Quintile 5","All","Main scheme application","600","555","0.92","0"
"2023","0 points","Quintile 5","All","Main scheme application","575","545","0.9440000000000001","0"
"2010","1 points","Quintile 5","All","Main scheme application","40","35","0.902","0"
"2011","1 points","Quintile 5","All","Main scheme application","45","40","0.894","0"
"2012","1 points","Quintile 5","All","Main scheme application","45","45","0.915","0"
"2013","1 points","Quintile 5","All","Main scheme application","60","60","0.983","0"
"2014","1 points","Quintile 5","All","Main scheme application","35","35","1","0"
"2015","1 points","Quintile 5","All","Main scheme application","45","45","1","0"
"2016","1 points","Quintile 5","All","Main scheme application","50","45","0.9380000000000001","0"
"2017","1 points","Quintile 5","All","Main scheme application","40","35","0.9490000000000001","0"
"2018","1 points","Quintile 5","All","Main scheme application","40","35","0.854","0"
"2019","1 points","Quintile 5","All","Main scheme application","45","40","0.907","0"
"2020","1 points","Quintile 5","All","Main scheme application","65","55","0.873","0"
"2021","1 points","Quintile 5","All","Main scheme application","85","70","0.8210000000000001","0"
"2022","1 points","Quintile 5","All","Main scheme application","45","45","1","0"
"2023","1 points","Quintile 5","All","Main scheme application","45","35","0.841","0"
"2010","2 points","Quintile 5","All","Main scheme application","25","25","0.96","0"
"2011","2 points","Quintile 5","All","Main scheme application","15","15","0.9380000000000001","0"
"2012","2 points","Quintile 5","All","Main scheme application","10","10","0.909","0"
"2013","2 points","Quintile 5","All","Main scheme application","15","10","0.857","0"
"2014","2 points","Quintile 5","All","Main scheme application","10","10","1","0"
"2015","2 points","Quintile 5","All","Main scheme application","15","10","0.786","0"
"2016","2 points","Quintile 5","All","Main scheme application","10","5"," ","0"
"2017","2 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2018","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2019","2 points","Quintile 5","All","Main scheme application","10","10","0.917","0"
"2020","2 points","Quintile 5","All","Main scheme application","10","10","1","0"
"2021","2 points","Quintile 5","All","Main scheme application","20","15","0.789","0"
"2022","2 points","Quintile 5","All","Main scheme application","15","15","0.929","0"
"2023","2 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2011","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2013","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2014","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2015","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2016","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2017","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2020","3 points","Quintile 5","All","Main scheme application","10","10"," ","0"
"2021","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2022","3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2023","3 points","Quintile 5","All","Main scheme application","5","0"," ","0"
"2011","More than 3 points","Quintile 5","All","Main scheme application","5","5"," ","0"
"2010","-1 points","Quintile 5","All","Main scheme application","160","145","0.9","0"
"2011","-1 points","Quintile 5","All","Main scheme application","220","195","0.89","0"
"2012","-1 points","Quintile 5","All","Main scheme application","185","155","0.84","0"
"2013","-1 points","Quintile 5","All","Main scheme application","220","190","0.863","0"
"2014","-1 points","Quintile 5","All","Main scheme application","190","170","0.889","0"
"2015","-1 points","Quintile 5","All","Main scheme application","235","205","0.872","0"
"2016","-1 points","Quintile 5","All","Main scheme application","230","210","0.905","0"
"2017","-1 points","Quintile 5","All","Main scheme application","240","205","0.855","0"
"2018","-1 points","Quintile 5","All","Main scheme application","245","215","0.87","0"
"2019","-1 points","Quintile 5","All","Main scheme application","195","180","0.919","0"
"2020","-1 points","Quintile 5","All","Main scheme application","210","185","0.89","0"
"2021","-1 points","Quintile 5","All","Main scheme application","220","195","0.874","0"
"2022","-1 points","Quintile 5","All","Main scheme application","245","210","0.861","0"
"2023","-1 points","Quintile 5","All","Main scheme application","260","240","0.923","0"
"2010","-2 points","Quintile 5","All","Main scheme application","140","130","0.901","0"
"2011","-2 points","Quintile 5","All","Main scheme application","165","150","0.902","0"
"2012","-2 points","Quintile 5","All","Main scheme application","175","150","0.869","0"
"2013","-2 points","Quintile 5","All","Main scheme application","180","165","0.896","0"
"2014","-2 points","Quintile 5","All","Main scheme application","160","130","0.8140000000000001","0"
"2015","-2 points","Quintile 5","All","Main scheme application","195","175","0.883","0"
"2016","-2 points","Quintile 5","All","Main scheme application","180","160","0.883","0"
"2017","-2 points","Quintile 5","All","Main scheme application","180","165","0.916","0"
"2018","-2 points","Quintile 5","All","Main scheme application","190","175","0.906","0"
"2019","-2 points","Quintile 5","All","Main scheme application","160","145","0.906","0"
"2020","-2 points","Quintile 5","All","Main scheme application","140","125","0.887","0"
"2021","-2 points","Quintile 5","All","Main scheme application","140","125","0.872","0"
"2022","-2 points","Quintile 5","All","Main scheme application","200","175","0.879","0"
"2023","-2 points","Quintile 5","All","Main scheme application","235","225","0.9450000000000001","0"
"2010","-3 points","Quintile 5","All","Main scheme application","145","125","0.854","0"
"2011","-3 points","Quintile 5","All","Main scheme application","135","125","0.934","0"
"2012","-3 points","Quintile 5","All","Main scheme application","105","95","0.896","0"
"2013","-3 points","Quintile 5","All","Main scheme application","125","110","0.911","0"
"2014","-3 points","Quintile 5","All","Main scheme application","145","130","0.895","0"
"2015","-3 points","Quintile 5","All","Main scheme application","140","120","0.851","0"
"2016","-3 points","Quintile 5","All","Main scheme application","120","95","0.807","0"
"2017","-3 points","Quintile 5","All","Main scheme application","140","120","0.845","0"
"2018","-3 points","Quintile 5","All","Main scheme application","135","120","0.876","0"
"2019","-3 points","Quintile 5","All","Main scheme application","140","120","0.878","0"
"2020","-3 points","Quintile 5","All","Main scheme application","90","80","0.857","0"
"2021","-3 points","Quintile 5","All","Main scheme application","85","75","0.862","0"
"2022","-3 points","Quintile 5","All","Main scheme application","135","120","0.868","0"
"2023","-3 points","Quintile 5","All","Main scheme application","165","145","0.902","0"
"2010","-4 points","Quintile 5","All","Main scheme application","120","105","0.881","0"
"2011","-4 points","Quintile 5","All","Main scheme application","125","110","0.895","0"
"2012","-4 points","Quintile 5","All","Main scheme application","130","115","0.879","0"
"2013","-4 points","Quintile 5","All","Main scheme application","115","105","0.904","0"
"2014","-4 points","Quintile 5","All","Main scheme application","120","100","0.835","0"
"2015","-4 points","Quintile 5","All","Main scheme application","120","105","0.874","0"
"2016","-4 points","Quintile 5","All","Main scheme application","120","110","0.909","0"
"2017","-4 points","Quintile 5","All","Main scheme application","105","90","0.858","0"
"2018","-4 points","Quintile 5","All","Main scheme application","105","95","0.914","0"
"2019","-4 points","Quintile 5","All","Main scheme application","115","100","0.867","0"
"2020","-4 points","Quintile 5","All","Main scheme application","75","65","0.855","0"
"2021","-4 points","Quintile 5","All","Main scheme application","70","60","0.843","0"
"2022","-4 points","Quintile 5","All","Main scheme application","115","100","0.879","0"
"2023","-4 points","Quintile 5","All","Main scheme application","145","130","0.877","0"
"2010","-5 points","Quintile 5","All","Main scheme application","80","70","0.886","0"
"2011","-5 points","Quintile 5","All","Main scheme application","70","60","0.897","0"
"2012","-5 points","Quintile 5","All","Main scheme application","85","65","0.75","0"
"2013","-5 points","Quintile 5","All","Main scheme application","110","100","0.875","0"
"2014","-5 points","Quintile 5","All","Main scheme application","90","70","0.8180000000000001","0"
"2015","-5 points","Quintile 5","All","Main scheme application","90","80","0.89","0"
"2016","-5 points","Quintile 5","All","Main scheme application","75","70","0.934","0"
"2017","-5 points","Quintile 5","All","Main scheme application","80","70","0.877","0"
"2018","-5 points","Quintile 5","All","Main scheme application","85","70","0.8160000000000001","0"
"2019","-5 points","Quintile 5","All","Main scheme application","90","80","0.89","0"
"2020","-5 points","Quintile 5","All","Main scheme application","45","35","0.8220000000000001","0"
"2021","-5 points","Quintile 5","All","Main scheme application","50","40","0.857","0"
"2022","-5 points","Quintile 5","All","Main scheme application","95","80","0.862","0"
"2023","-5 points","Quintile 5","All","Main scheme application","115","95","0.843","0"
"2010","-6 points","Quintile 5","All","Main scheme application","60","50","0.847","0"
"2011","-6 points","Quintile 5","All","Main scheme application","60","50","0.847","0"
"2012","-6 points","Quintile 5","All","Main scheme application","65","55","0.877","0"
"2013","-6 points","Quintile 5","All","Main scheme application","50","45","0.865","0"
"2014","-6 points","Quintile 5","All","Main scheme application","60","45","0.767","0"
"2015","-6 points","Quintile 5","All","Main scheme application","60","45","0.776","0"
"2016","-6 points","Quintile 5","All","Main scheme application","70","55","0.838","0"
"2017","-6 points","Quintile 5","All","Main scheme application","55","45","0.811","0"
"2018","-6 points","Quintile 5","All","Main scheme application","50","40","0.837","0"
"2019","-6 points","Quintile 5","All","Main scheme application","50","40","0.78","0"
"2020","-6 points","Quintile 5","All","Main scheme application","25","20","0.88","0"
"2021","-6 points","Quintile 5","All","Main scheme application","30","25","0.893","0"
"2022","-6 points","Quintile 5","All","Main scheme application","60","50","0.803","0"
"2023","-6 points","Quintile 5","All","Main scheme application","65","60","0.922","0"
"2010","Less than -6 points","Quintile 5","All","Main scheme application","125","105","0.846","0"
"2011","Less than -6 points","Quintile 5","All","Main scheme application","125","100","0.8130000000000001","0"
"2012","Less than -6 points","Quintile 5","All","Main scheme application","105","85","0.794","0"
"2013","Less than -6 points","Quintile 5","All","Main scheme application","120","100","0.8250000000000001","0"
"2014","Less than -6 points","Quintile 5","All","Main scheme application","130","120","0.909","0"
"2015","Less than -6 points","Quintile 5","All","Main scheme application","115","95","0.833","0"
"2016","Less than -6 points","Quintile 5","All","Main scheme application","120","100","0.8310000000000001","0"
"2017","Less than -6 points","Quintile 5","All","Main scheme application","125","95","0.758","0"
"2018","Less than -6 points","Quintile 5","All","Main scheme application","115","100","0.878","0"
"2019","Less than -6 points","Quintile 5","All","Main scheme application","120","95","0.783","0"
"2020","Less than -6 points","Quintile 5","All","Main scheme application","40","35","0.8250000000000001","0"
"2021","Less than -6 points","Quintile 5","All","Main scheme application","95","80","0.8210000000000001","0"
"2022","Less than -6 points","Quintile 5","All","Main scheme application","100","85","0.888","0"
"2023","Less than -6 points","Quintile 5","All","Main scheme application","100","85","0.8320000000000001","0"
"2011","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2018","All","Quintile 1","All","Not main scheme application","5","0"," ","0"
"2020","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2021","All","Quintile 1","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 1","All","Not main scheme application","10","10","1","0"
"2010","All","Quintile 2","All","Not main scheme application","10","10"," ","0"
"2012","All","Quintile 2","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2016","All","Quintile 2","All","Not main scheme application","10","5"," ","0"
"2017","All","Quintile 2","All","Not main scheme application","5","0"," ","0"
"2018","All","Quintile 2","All","Not main scheme application","10","5"," ","0"
"2019","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2020","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2021","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2023","All","Quintile 2","All","Not main scheme application","5","5"," ","0"
"2010","All","Quintile 3","All","Not main scheme application","10","10"," ","0"
"2011","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 3","All","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 3","All","Not main scheme application","15","10"," ","0"
"2015","All","Quintile 3","All","Not main scheme application","10","10","0.909","0"
"2016","All","Quintile 3","All","Not main scheme application","15","5"," ","0"
"2017","All","Quintile 3","All","Not main scheme application","10","10"," ","0"
"2018","All","Quintile 3","All","Not main scheme application","15","15","0.933","0"
"2019","All","Quintile 3","All","Not main scheme application","15","15","1","0"
"2020","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2021","All","Quintile 3","All","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 3","All","Not main scheme application","10","10","0.833","0"
"2023","All","Quintile 3","All","Not main scheme application","10","10","0.917","0"
"2010","All","Quintile 4","All","Not main scheme application","10","10","1","0"
"2011","All","Quintile 4","All","Not main scheme application","20","15","0.81","0"
"2012","All","Quintile 4","All","Not main scheme application","15","10","0.8","0"
"2013","All","Quintile 4","All","Not main scheme application","15","15","0.8240000000000001","0"
"2014","All","Quintile 4","All","Not main scheme application","20","15","0.833","0"
"2015","All","Quintile 4","All","Not main scheme application","15","10","0.786","0"
"2016","All","Quintile 4","All","Not main scheme application","15","15","1","0"
"2017","All","Quintile 4","All","Not main scheme application","15","15","0.933","0"
"2018","All","Quintile 4","All","Not main scheme application","10","10","1","0"
"2019","All","Quintile 4","All","Not main scheme application","20","20","0.909","0"
"2020","All","Quintile 4","All","Not main scheme application","25","20","0.84","0"
"2021","All","Quintile 4","All","Not main scheme application","10","10","0.909","0"
"2022","All","Quintile 4","All","Not main scheme application","30","25","0.8280000000000001","0"
"2023","All","Quintile 4","All","Not main scheme application","20","20","0.9","0"
"2010","All","Quintile 5","All","Not main scheme application","30","25","0.893","0"
"2011","All","Quintile 5","All","Not main scheme application","30","20","0.724","0"
"2012","All","Quintile 5","All","Not main scheme application","45","40","0.8300000000000001","0"
"2013","All","Quintile 5","All","Not main scheme application","45","40","0.907","0"
"2014","All","Quintile 5","All","Not main scheme application","50","40","0.8160000000000001","0"
"2015","All","Quintile 5","All","Not main scheme application","50","45","0.863","0"
"2016","All","Quintile 5","All","Not main scheme application","45","40","0.891","0"
"2017","All","Quintile 5","All","Not main scheme application","60","45","0.783","0"
"2018","All","Quintile 5","All","Not main scheme application","40","35","0.81","0"
"2019","All","Quintile 5","All","Not main scheme application","45","40","0.851","0"
"2020","All","Quintile 5","All","Not main scheme application","55","50","0.909","0"
"2021","All","Quintile 5","All","Not main scheme application","55","40","0.774","0"
"2022","All","Quintile 5","All","Not main scheme application","50","40","0.796","0"
"2023","All","Quintile 5","All","Not main scheme application","50","45","0.896","0"
"2011","All","Unknown","All","Main scheme application","5","5"," ","0"
"2013","All","Unknown","All","Main scheme application","5","0"," ","0"
"2010","All","Quintile 1","All","Main scheme application","40","35","0.921","0"
"2011","All","Quintile 1","All","Main scheme application","35","35","0.892","0"
